species,study_block,diet_name,Dieta,Tratamiento,Replica,byproduct_type,inclusion_pct,water_condition,processing,Proteína (%)_media,Proteína (%)_sd,Grasa (%)_media,Grasa (%)_sd,Fibra (%)_media,Fibra (%)_sd,Cenizas (%)_media,Cenizas (%)_sd,Carbohidratos (%)_media,Carbohidratos (%)_sd,ratio_P_C,ratio_P_F,ratio_Fibra_Grasa,TPC_dieta_media,TPC_dieta_sd,TPC_larva_media,TPC_larva_sd,FCR,Ganancia de peso (mg) por larva,Ganancia de peso (mg) media diaria por larva,Reducción (%) del sustrato (reducción de la masa de dieta suministrada),Reducción diaria (%) del sustrato (reducción diaria de la masa de dieta suministrada),Peso total de las larvas (g) al finalizar el periodo de alimentación,Peso total del sustrato (g) al finalizar el periodo de alimentación,PROTEINA (%),GRASA (%),QUITINA (%),CENIZAS (%),CARBOHIDRATOS (%),TPC_dieta_media__dup1,TPC_dieta_sd__dup1,TPC_larva_media__dup1,TPC_larva_sd__dup1,Tratamiento_prod,Dieta_comp_prod,Trat_comp_prod,Tratamiento_larv,Dieta_comp_larv,Trat_comp_larv,Dieta_comp,Trat_comp
Tenebrio,main,Control,Control,0,1,control,0,none,none,14.567601466918289,0.33906996252867083,2.8470480933175835,0.06518742527810235,2.4154389118111905,0.17852236612128386,3.138910062044822,0.07968738423936417,77.03100146590812,0.4410624504853927,0.18911348924063415,5.116738807858733,0.8484011624111867,0.2319347983131488,0.002182461539146465,0.3212294016333334,0.023088188848924034,2.965587044534413,,,34.18333333333333,4.883333333333333,836,3949,42.724277530166994,37.21874881210539,5.8798904035482735,3.7333780778124415,10.44370517636689,0.2319347983131488,0.002182461539146465,0.3212294016333334,0.023088188848924034,0,Control,0,0,Control,0,Control,0
Tenebrio,main,Control,Control,0,2,control,0,none,none,14.567601466918289,0.33906996252867083,2.8470480933175835,0.06518742527810235,2.4154389118111905,0.17852236612128386,3.138910062044822,0.07968738423936417,77.03100146590812,0.4410624504853927,0.18911348924063415,5.116738807858733,0.8484011624111867,0.2319347983131488,0.002182461539146465,0.3212294016333334,0.023088188848924034,2.773211240339853,41.5,0.8469387755102041,30.083333333333332,4.2976190476190474,723,4195,43.79839302328586,32.10592821785295,6.668637096087661,4.028977597116049,13.39806406565748,0.2319347983131488,0.002182461539146465,0.3212294016333334,0.023088188848924034,0,Control,0,0,Control,0,Control,0
Tenebrio,main,Control,Control,0,3,control,0,none,none,14.567601466918289,0.33906996252867083,2.8470480933175835,0.06518742527810235,2.4154389118111905,0.17852236612128386,3.138910062044822,0.07968738423936417,77.03100146590812,0.4410624504853927,0.18911348924063415,5.116738807858733,0.8484011624111867,0.2319347983131488,0.002182461539146465,0.3212294016333334,0.023088188848924034,2.7272050614067735,48,0.9795918367346939,30.533333333333335,4.361904761904762,745,4168,43.331882423179295,36.23092047764757,6.428087807488559,4.041571224978478,9.967538066706098,0.2319347983131488,0.002182461539146465,0.3212294016333334,0.023088188848924034,0,Control,0,0,Control,0,Control,0
Tenebrio,main,Hoja15,Hoja15,1,1,hoja,15,none,none,12.911599935501046,0.18651161029155525,2.4773066004253903,0.10457292781008963,3.813707076257758,0.15137718871719116,2.71744111467461,0.22872885775625615,78.07994527314119,0.4408832842757676,0.16536384458689576,5.211950726358995,1.539457035961107,0.9937190613754217,0.052005898814380946,0.36392556179999996,0.029127622514583496,2.542555483731954,37.1,0.7571428571428571,21.633333333333333,3.0904761904761906,613,4702,44.59966850546592,35.773418622197916,5.862070596691548,4.1102444345604585,9.654597841084154,0.9937190613754217,0.052005898814380946,0.36392556179999996,0.029127622514583496,1,Hoja15,1,1,Hoja15,1,Hoja15,1
Tenebrio,main,Hoja15,Hoja15,1,2,hoja,15,none,none,12.911599935501046,0.18651161029155525,2.4773066004253903,0.10457292781008963,3.813707076257758,0.15137718871719116,2.71744111467461,0.22872885775625615,78.07994527314119,0.4408832842757676,0.16536384458689576,5.211950726358995,1.539457035961107,0.9937190613754217,0.052005898814380946,0.36392556179999996,0.029127622514583496,2.85569410191993,37.8,0.7714285714285714,20.65,2.9499999999999997,506,4761,48.58207253144869,33.395068094131915,6.009969378450107,4.40893994462423,7.603950051345066,0.9937190613754217,0.052005898814380946,0.36392556179999996,0.029127622514583496,1,Hoja15,1,1,Hoja15,1,Hoja15,1
Tenebrio,main,Hoja15,Hoja15,1,3,hoja,15,none,none,12.911599935501046,0.18651161029155525,2.4773066004253903,0.10457292781008963,3.813707076257758,0.15137718871719116,2.71744111467461,0.22872885775625615,78.07994527314119,0.4408832842757676,0.16536384458689576,5.211950726358995,1.539457035961107,0.9937190613754217,0.052005898814380946,0.36392556179999996,0.029127622514583496,2.585823550337958,40.300000000000004,0.8224489795918368,19.383333333333333,2.769047619047619,523,4837,43.98309530729985,34.50104066350727,5.637252899447334,3.883090490322655,11.995520639422892,0.9937190613754217,0.052005898814380946,0.36392556179999996,0.029127622514583496,1,Hoja15,1,1,Hoja15,1,Hoja15,1
Tenebrio,main,Hoja30,Hoja30,2,1,hoja,30,none,none,11.924123246829746,0.19353356212514738,2.7462504293267767,0.04897639094433392,5.037089982846193,0.08167465680920993,3.4822581363481775,0.26151532270186884,76.81027820464911,0.0384370419303048,0.15524124538463152,4.341965000530872,1.834169939148994,1.733933803001073,0.01974932559868793,0.3993213173333334,0.023432252821544777,2.5210622417272637,24.6,0.5020408163265306,13.116666666666667,1.8738095238095238,379,5213,43.64443148041813,32.423159147871544,6.037027493873164,4.742643106017828,13.15273877181933,1.733933803001073,0.01974932559868793,0.3993213173333334,0.023432252821544777,2,Hoja30,2,2,Hoja30,2,Hoja30,2
Tenebrio,main,Hoja30,Hoja30,2,2,hoja,30,none,none,11.924123246829746,0.19353356212514738,2.7462504293267767,0.04897639094433392,5.037089982846193,0.08167465680920993,3.4822581363481775,0.26151532270186884,76.81027820464911,0.0384370419303048,0.15524124538463152,4.341965000530872,1.834169939148994,1.733933803001073,0.01974932559868793,0.3993213173333334,0.023432252821544777,2.4972081640411528,34.699999999999996,0.7081632653061224,17.516666666666666,2.5023809523809524,493,4949,45.32322480412907,30.989301709004195,7.481259946293903,4.295030103417098,11.911183437155728,1.733933803001073,0.01974932559868793,0.3993213173333334,0.023432252821544777,2,Hoja30,2,2,Hoja30,2,Hoja30,2
Tenebrio,main,Hoja30,Hoja30,2,3,hoja,30,none,none,11.924123246829746,0.19353356212514738,2.7462504293267767,0.04897639094433392,5.037089982846193,0.08167465680920993,3.4822581363481775,0.26151532270186884,76.81027820464911,0.0384370419303048,0.15524124538463152,4.341965000530872,1.834169939148994,1.733933803001073,0.01974932559868793,0.3993213173333334,0.023432252821544777,2.2281908624989724,30.1,0.6142857142857143,13.55,1.9357142857142857,414,5187,42.43389586090185,30.848557757974767,7.133568117278421,4.1853961879715404,15.398582075873435,1.733933803001073,0.01974932559868793,0.3993213173333334,0.023432252821544777,2,Hoja30,2,2,Hoja30,2,Hoja30,2
Tenebrio,main,Hoja50,Hoja50,3,1,hoja,50,none,none,10.49072671409911,0.10668408454448247,2.6211503194283647,0.14910195628900139,6.562415910266292,0.1594598544723048,4.510954301923732,0.14919109184229323,75.81475275428251,0.10809334164731511,0.13837315737347075,4.0023369267837285,2.503639665998805,2.537919739777159,0.02021258366716269,0.45009311341666675,0.021669972613405614,2.445388349514563,22.8,0.4653061224489796,13.433333333333334,1.9190476190476191,454,5194,43.13594119232716,34.18133233108144,6.311017146868964,3.9342717069238016,12.43743762279864,2.537919739777159,0.02021258366716269,0.45009311341666675,0.021669972613405614,3,Hoja50,3,3,Hoja50,3,Hoja50,3
