species,study_block,diet_name,Dieta,byproduct_type,inclusion_pct,water_condition,processing,Proteína (%)_media,Proteína (%)_sd,Grasa (%)_media,Grasa (%)_sd,Fibra (%)_media,Fibra (%)_sd,Cenizas (%)_media,Cenizas (%)_sd,Carbohidratos (%)_media,Carbohidratos (%)_sd,ratio_P_C,ratio_P_F,ratio_Fibra_Grasa,TPC_dieta_media,TPC_dieta_sd,TPC_larva_media,TPC_larva_sd,PROTEINA (%)_sd,GRASA (%)_sd,QUITINA (%)_sd,CENIZAS (%)_sd,CARBOHIDRATOS (%)_sd,TPC_dieta_media__dup1,TPC_dieta_sd__dup1,PROTEINA (%)_mean,GRASA (%)_mean,QUITINA (%)_mean,CENIZAS (%)_mean,CARBOHIDRATOS (%)_mean,TPC_larva_media__dup1,TPC_larva_sd__dup1,Tratamiento,Dieta_comp,Trat_comp
Hermetia,main,Control,Control,control,0,none,none,18.175156078827623,0.43543944232554566,2.7660179444561863,0.02960420794935222,2.513073808807695,0.0935246286660891,22.034335858419862,0.09653028261186121,54.51141630948863,0.5478149891299905,0.333419259841611,6.570874247311131,0.9085529664926951,0.18041642963591564,0.01204558359796769,0.43284278291161793,0.0311348844474246,0.390719644116735,5.2039206379266645,0.6804521358517581,0.6945223708686075,4.2276943388012755,0.18041642963591564,0.01204558359796769,31.936172635242006,11.498079330379369,3.9165836284826328,23.552520940587133,29.09664346530886,0.43284278291161793,0.0311348844474246,0,,
Hermetia,main,Hoja15,Hoja15,hoja,15,none,none,16.838123485650616,0.25804689222305743,2.6502742093231593,0.023623966453506326,3.7022907909892706,0.18116334654242983,19.29402821359632,0.08150877955439104,57.515283300440636,0.043625070940696106,0.29275911582829006,6.353351448094431,1.3969463152021468,0.9034100243494326,0.10058273252007106,0.35837627702542174,0.01735137507141395,1.3029537635292103,1.5285121379765416,1.7406680970720623,0.7657913642812226,1.9719624952099957,0.9034100243494326,0.10058273252007106,31.41711767126824,8.225026712723624,9.298099229974042,26.271346966060502,24.788409419973593,0.35837627702542174,0.01735137507141395,1,,
Hermetia,main,Hoja30,Hoja30,hoja,30,none,none,15.137501848365227,0.23808986320009382,2.6227291341426135,0.11327770488901004,5.2236458880007035,0.11735312771129446,16.872465816948363,0.1909693996174449,60.14365731254308,0.30566814733955067,0.25168908118941863,5.77166038662005,1.9916833271112253,1.616542260931662,0.05015289190988306,0.44270476954145876,0.04699661263989746,0.8982613933498248,2.9555866838592406,1.2039614974671085,1.1287354112101091,3.1306435515490048,1.616542260931662,0.05015289190988306,24.417325160791616,21.223611141730427,9.74464630148317,20.19942181567048,24.4149955803243,0.44270476954145876,0.04699661263989746,2,,
Hermetia,main,Hoja50,Hoja50,hoja,50,none,none,13.511367889574666,0.19193321187865348,2.931320751170547,0.041274442203307025,7.77300881328658,0.19748936955887736,14.292793327531937,0.16302941822839098,61.49150921843627,0.2118036838143485,0.21972737474336884,4.609310627020005,2.6517087255574574,2.484336499057168,0.3435995093582646,0.31178973627940126,0.020487450403836874,0.6865356800150682,2.274036956545089,1.644351776226206,0.20779777438454183,2.5894423936931195,2.484336499057168,0.3435995093582646,23.3704964288867,14.909884541016607,11.421126225950488,20.929722248415768,29.36877055573044,0.31178973627940126,0.020487450403836874,3,,
Hermetia,main,Orujo30,Orujo30,orujo,30,none,none,16.62601269111408,0.017578907825086695,5.906098303128011,0.14155628049713287,7.152747425188909,0.2994254139904554,19.922816493554546,0.15656335983322817,50.392325087014456,0.5429949749028347,0.3299314461558437,2.815058578064735,1.2110782885887021,0.7857406615769995,0.11015796468849914,0.35114333570919454,0.04441209603221388,1.4553102232616737,4.221184255219066,0.7133110581759536,1.1066284350888032,5.733730176875285,0.7857406615769995,0.11015796468849914,30.321931427470407,10.156761004095438,8.908302799451452,20.538848006637192,30.074156762345506,0.35114333570919454,0.04441209603221388,4,,
Hermetia,main,Orujo50,Orujo50,orujo,50,none,none,14.938606833385997,0.2688634092093174,7.274674729583903,0.12625252628746414,11.503108701660596,0.11780908661050195,15.247486574423315,0.3189420197715929,51.0361231609462,0.5241782342609606,0.29270653623661796,2.0535085606831602,1.5812540256791043,0.9272824049558074,0.13719985447506824,0.3163595272036113,0.029121313151899458,0.9570343653066038,2.35273900102741,0.26501153513069536,0.6952504945164668,1.7308412167640725,0.9272824049558074,0.13719985447506824,32.14739293244424,11.032152033349528,9.263182419668823,19.584966162131874,27.972306452405533,0.3163595272036113,0.029121313151899458,5,,
Hermetia,main,Orujo70,Orujo70,orujo,70,none,none,14.352349432602495,0.21281400203907744,9.500661670357212,0.1069723939447647,14.993036730015456,0.277608593129019,13.500152810049789,0.31360788887568486,47.65379935697505,0.37597450424623563,0.30117954132238045,1.5106684071681993,1.578104478427526,1.44256685277738,0.023860790734826314,0.393267640769779,0.01544897949924926,0.6656123205347974,1.8685910257350047,1.4158137746843429,0.4191495965579457,4.2178880846452955,1.44256685277738,0.023860790734826314,27.401729487019566,16.2926174786459,15.31837764643533,16.80579684664102,24.181478541258187,0.393267640769779,0.01544897949924926,6,,
Hermetia,main,Orujo90,Orujo90,orujo,90,none,none,12.528128039175778,0.4610238828642954,10.817841387295141,0.13248012115637783,19.978772798718733,0.23034957687295465,10.484394090050833,0.3789359096193328,46.190863684759506,0.055289552126338605,0.2712252389277013,1.158098699236731,1.8468354344871905,2.0398412954319354,0.08361655724894325,0.5935743644571156,0.039074318144666956,2.487326685218963,3.1490242826675674,3.3004384461711394,0.9115344733377974,2.667589583574576,2.0398412954319354,0.08361655724894325,26.54687743264664,20.862634518455195,11.022775692415747,16.990257408953937,24.57745494752848,0.5935743644571156,0.039074318144666956,7,,
Hermetia,main,Quinoa15,Quinoa15,quinoa,15,none,none,16.372396813089125,0.19357041016836002,2.7162493247866437,0.07826325788917662,2.3546437760590138,0.02970867167406732,19.60330538727266,0.10579398189637042,58.95340469879255,0.2560574427115493,0.2777175787681768,6.027575106484433,0.8668732117380155,0.19513629634798557,0.007401343975655329,0.29082811000000003,0.018116390493569078,1.3155110467828839,2.1359724441759878,0.5219343147738443,1.2567844037106892,2.6174214880937052,0.19513629634798557,0.007401343975655329,30.767016480982814,8.194761310854174,6.8634024836162695,24.385036446558004,29.789783277988736,0.29082811000000003,0.018116390493569078,8,,
Hermetia,main,Quinoa30,Quinoa30,quinoa,30,none,none,15.457510901293055,0.38889854478012975,2.974882865378071,0.10448149945038623,2.5888715478650632,0.18967143603725395,19.04804549849428,0.25483261236258875,59.93068918696952,0.8232696109748683,0.2579231293848347,5.196006565901746,0.870243187721628,0.23647058572218943,0.006192961285752391,0.33983053666666674,0.023434694818868593,0.7673909690614148,2.7538461926040196,0.9646747439274708,1.7176301499247173,3.8642711005438466,0.23647058572218943,0.006192961285752391,29.984110876218477,8.705478412922877,7.173716554114539,24.19570979900837,29.940984357735733,0.33983053666666674,0.023434694818868593,9,,
